date,actual_nwl,synthetic_nwl,gap,period
2017-12-01,,0.0,,pre
2018-01-01,,0.0,,pre
2018-02-01,,0.0,,pre
2018-03-01,,0.0,,pre
2018-04-01,,0.0,,pre
2018-05-01,-0.5662352696562006,-0.2696470623315658,-0.2965882073246348,pre
2018-06-01,-0.2537093305717826,-0.30762961158405344,0.053920281012270865,pre
2018-07-01,-0.3330935420919548,-0.23973242705705033,-0.09336111503490446,pre
2018-08-01,-0.5204804860360084,-0.18140130938166782,-0.33907917665434056,pre
2018-09-01,-0.2596251551686938,-0.31184951649075365,0.052224361322059876,pre
2018-10-01,-0.168155481437958,-0.1677312454905331,-0.00042423594742491133,pre
2018-11-01,-0.1041701625769342,-0.3459361642332139,0.24176600165627968,pre
2018-12-01,-0.0398596085082933,-0.19598752682497766,0.15612791831668438,pre
2019-01-01,-0.0742780627462075,-0.24613141772722671,0.17185335498101922,pre
2019-02-01,-0.5640167403720905,-0.568745877951184,0.004729137579093545,pre
2019-03-01,-0.2892469545538118,-0.3380786223796729,0.048831667825861125,pre
2019-04-01,-0.4633264249492377,-0.28586787795776536,-0.17745854699147234,post
2019-05-01,0.575730372260881,-0.3004225901218173,0.8761529623826982,post
2019-06-01,0.4169882660812899,-0.13906472228862504,0.556052988369915,post
2019-07-01,0.3240739991988384,-0.0017634228210225925,0.325837422019861,post
2019-08-01,0.1617626159755212,-0.04802238561834909,0.20978500159387029,post
2019-09-01,-0.0544395671772353,0.11325128864267456,-0.16769085581990986,post
2019-10-01,-0.0866138954349331,0.06157715613072683,-0.14819105156565993,post
2019-11-01,0.350042336493342,-0.04638865321279918,0.39643098970614116,post
2019-12-01,0.1455727577638216,-0.19047350994527287,0.33604626770909446,post
2020-01-01,0.349887934415059,-0.0329478715350538,0.3828358059501128,post
2020-02-01,0.9210965571674534,0.2867598344349782,0.6343367227324752,post
2020-03-01,0.8792635688637384,0.5364343437398527,0.3428292251238857,post
2020-04-01,0.7040780253997739,0.4805636954623776,0.22351432993739634,post
2020-05-01,0.0062698268480776,0.3500930936050492,-0.3438232667569716,post
2020-06-01,-0.0203879618437021,0.5133348284805005,-0.5337227903242026,post
2020-07-01,-0.0446309330369332,0.4405394634165089,-0.4851703964534421,post
2020-08-01,-0.5343060116560728,0.7198951574787125,-1.2542011691347854,post
2020-09-01,-0.3919067980177607,0.6018143117548254,-0.993721109772586,post
2020-10-01,-0.5348669230571569,0.4619607929815794,-0.9968277160387362,post
